category,name,description,similarity_score,cropped image
Cable,SC TO ST 9 by 125 Duplex Singlemode Fiber Optic Cable-Violet Jacket,"Violet OS2 SC Male to ST Male cable, 1M to 10M.",0.89,"<img src=""/static/segmented_outputs/cable/1747316761_image 10_Cable_0.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Cable,Cat6A 24AWG Snagless Ethernet Network Patch Cable - Green,"Green PVC unshielded RJ45 Male to RJ45 Male cable, 24 AWG, stranded, 0.5FT to 100FT.",0.86,"<img src=""/static/segmented_outputs/cable/1747316761_image 10_Cable_0.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Cable,LC TO SC 50 by 125 Duplex Multimode Fiber Optic Cable-Red Jacket,"Red OM2 LC Male to SC Male cable, 1M to 10M.",0.82,"<img src=""/static/segmented_outputs/cable/1747316761_image 10_Cable_1.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Cable,LC TO ST 62.5 by 125 Duplex Multimode Fiber Optic Cable-Red Jacket,"Red OM1 LC Male to ST Male cable, 1M to 10M.",0.85,"<img src=""/static/segmented_outputs/cable/1747316761_image 10_Cable_4.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Cable,Cat6A 24AWG Snagless Ethernet Network Patch Cable - Black,"Black PVC unshielded RJ45 Male to RJ45 Male cable, 24 AWG, stranded, 0.5FT to 150FT.",0.84,"<img src=""/static/segmented_outputs/cable/1747316761_image 10_Cable_5.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Rack,NRFS-4 Post Series,"*Conforms to DIN 41494 or Equivalent EIA / ISO / EN / CEA Standard. *Adjustable mounting depth. *4 No Adjustable, 19"" verticals with Punched 10 mm Square Hole and Universal 12.7mm-15.875mm-15.875mm alternating hole pattern offers greater mounting flexibility, maximizes usable mounting space . *State-of-the-art manufacturing methods provide the best product quality and fastest delivery in the indus",0.82,"<img src=""/static/segmented_outputs/rack/1747316761_image 10_Rack_2.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Rack,NRSe 600 Series,"*Conforms to DIN 41494 or Equivalent EIA /ISO / EN / CEA Standard. *Adjustable mounting depth. *4 No Adjustable, 19” verticals with Punched 10 mm Square Hole and Universal 12.7mm-15.875mm-15.875mm alternating hole pattern offers greater mounting flexibility, maximizes usable mounting space. *State-of-the-art manufacturing methods provide the best product quality and fastest delivery in the industr",0.82,"<img src=""/static/segmented_outputs/rack/1747316761_image 10_Rack_2.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-1520-52,"48 x 10/100/1000Base-T
Ports
2 x 10GBase-T Ports
2 x 10G SFP+ Ports",0.88,"<img src=""/static/segmented_outputs/switch/1747316761_image 10_Switch_3.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,TL-SG105E,"Easy Smart Switch  5 10/100/1000 Mbps RJ45 Ports  AUTO Negotiation/AUTO MDI/MDIX	  10 Gbps	 External Adapter	VLAN, QoS, IGMP Snooping",0.87,"<img src=""/static/segmented_outputs/switch/1747316761_image 10_Switch_3.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
Switch,DGS-2000-52MP," 48 x 10/100/1000BASE-T PoE ports
4 x 100/1000 Mbps GbE/SFP combo ports",0.90,"<img src=""/static/segmented_outputs/switch/1747316761_image 10_Switch_6.jpg"" alt=""Component"" style=""width: 100px; height: auto; border-radius: 4px;"" onerror=""this.onerror=null; this.src='/static/images/image-not-found.svg'; this.alt='Image not found'"" />"
